id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-493897,2025-04-30,000001,Vente,2393000,3,,RUE LE REGRATTIER,5599,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0111,,,7,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354197,48.851948
2025-493903,2025-05-23,000001,Vente,95000,38,,RUE DU TEMPLE,9191,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0079,,,130,10.8,,,,,,,,,1,3,Dépendance,,0,,,,,,2.354867,48.859709
2025-493926,2025-05-15,000001,Vente,2380000,3,,RUE DU PLATRE,7532,75004,75104,Paris 4e Arrondissement,75,,,75104000AG0092,,,29,144.26,88,145,,,,,,,2,4,Local industriel. commercial ou assimilé,145,0,,,,,,2.354974,48.858928
2025-493966,2025-05-13,000001,Vente,235000,19,,RUE JEAN BEAUSIRE,4861,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0191,,,3,18.7,,,,,,,,,1,3,Dépendance,,0,,,,,,2.367854,48.854829
2025-493966,2025-05-13,000001,Vente,235000,19,,RUE JEAN BEAUSIRE,4861,75004,75104,Paris 4e Arrondissement,75,,,75104000AO0191,,,3,18.7,,,,,,,,,1,2,Appartement,15,1,,,,,,2.367854,48.854829
2025-493972,2025-05-28,000001,Vente,100000,68,,RUE SAINT LOUIS EN L ILE,8678,75004,75104,Paris 4e Arrondissement,75,,,75104000AV0006,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.355419,48.852449
2025-494034,2025-06-03,000001,Vente,1092500,26,,RUE DU BOURG TIBOURG,1209,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0045,,,25,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.356701,48.857544
2025-494034,2025-06-03,000001,Vente,1092500,26,,RUE DU BOURG TIBOURG,1209,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0045,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.356701,48.857544
2025-494034,2025-06-03,000001,Vente,1092500,26,,RUE DU BOURG TIBOURG,1209,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0045,,,14,23.5,23,,,,,,,,2,3,Dépendance,,0,,,,,,2.356701,48.857544
2025-494034,2025-06-03,000001,Vente,1092500,26,,RUE DU BOURG TIBOURG,1209,75004,75104,Paris 4e Arrondissement,75,,,75104000AJ0045,,,17,,,,,,,,,,1,2,Appartement,37,2,,,,,,2.356701,48.857544
